,dtype,nunique,na_ratio
saldo_tactivo_6var,float64,0,1.0
saldo_tactivo,float64,0,1.0
siniincicap_d_6max,float64,0,1.0
siniincicap_d_12max,float64,0,1.0
raz_apalanc_6m,float64,0,1.0
razon_circulante_6m,float64,0,1.0
raz_patnet_pas_12m,float64,0,1.0
siniincicap_d_12m,float64,0,1.0
siniincicap_d_6med,float64,0,1.0
siniincicap_d_12med,float64,0,1.0
saldo_tactivo_12var,float64,0,1.0
saldo_tactivo_12m,float64,0,1.0
saldo_tactivo_6m,float64,0,1.0
saldo_tpasivo_12m,float64,0,1.0
saldo_tpasivo_12var,float64,0,1.0
saldo_tpasivo_6m,float64,0,1.0
saldo_tpasivo,float64,0,1.0
saldo_tpasivo_6var,float64,0,1.0
fecha_in_msub_cli,datetime64[ns],0,1.0
raz_patnet_pasivo,float64,0,1.0
siniincicap_d_6m,float64,0,1.0
raz_patnet_pasivo_6m,float64,0,1.0
razon_circulante,float64,0,1.0
raz_apalancamiento,float64,0,1.0
raz_apalanc_12m,float64,0,1.0
otros_saldos,float64,0,1.0
razon_circulante_12m,float64,0,1.0
fecha_fin_msub_cli,datetime64[ns],5,0.9985733850719014
fecha_fin_inc_e,datetime64[ns],256,0.9706687970782927
saliniincicap_e,float64,340,0.9703834740926729
limmxcont_e,float64,31,0.9703834740926729
saliniinciint_e,float64,1,0.9703834740926729
salmedincicap_e,float64,341,0.9703834740926729
salmedinciint_e,float64,1,0.9703834740926729
fecha_in_inci_e,datetime64[ns],231,0.9703834740926729
salmxincicap_e,float64,341,0.9703834740926729
salmxinciint_e,float64,1,0.9703834740926729
rat_inven_spas_12m,float64,404,0.9686144715818307
rat_inven_spas_6m,float64,464,0.9627938826751883
indimorasubclie,float64,1,0.9556608080346953
indimorasubcont,float64,1,0.9556608080346953
fecha_in_msub_con,datetime64[ns],89,0.9556608080346953
fecha_fin_msub_con,datetime64[ns],47,0.9533782241497375
rat_inven_spas,float64,605,0.9524651905957544
rat_inven_sact_12m,float64,739,0.9437343072357909
siniincicap_v_12m,float64,630,0.9435631134444191
rat_inven_sact_6m,float64,899,0.9307806436886555
siniincicap_v_6m,float64,746,0.9306094498972838
fecha_fin_inc_v,datetime64[ns],448,0.9112645514722666
limmedcont_e,float64,511,0.9091531613786806
salmedincicap_v,float64,1040,0.9091531613786806
limmxcont_v,float64,511,0.9091531613786806
saliniinciint_v,float64,783,0.9091531613786806
salmxinciint_v,float64,828,0.9091531613786806
limmedcont_v,float64,511,0.9091531613786806
rat_inven_sact,float64,1219,0.9091531613786806
limmincont_e,float64,511,0.9091531613786806
fecha_in_inci_v,datetime64[ns],347,0.9091531613786806
salmxincicap_v,float64,1016,0.9091531613786806
siniincicap_v,float64,971,0.9091531613786806
limmincont_v,float64,511,0.9091531613786806
salmedinciint_v,float64,828,0.9091531613786806
ead_cont_nov_refina,float64,208,0.8890664231910522
fecha_aper_con_res,datetime64[ns],166,0.8890664231910522
impcontnovarefi,float64,162,0.8890664231910522
impor_novado_refina,float64,207,0.8890664231910522
fecha_fin_carencia,datetime64[ns],170,0.8890664231910522
fecha_in_carencia,datetime64[ns],166,0.8890664231910522
flag_vencido,float64,2,0.8871832914859621
flag_exceso,float64,2,0.8871832914859621
flag_refinanciados,float64,1,0.8868409039032185
ocupacion_repre,float64,53,0.8364528646427756
rat_inven_spas_6med,float64,1559,0.8354827664916685
ut_bruta_paslp_12m,float64,1173,0.7876055695046793
rat_inven_spas_12med,float64,1665,0.7763067792741383
cob_int_fin_12m,float64,1249,0.7721410636840904
cob_int_12m,float64,1249,0.7721410636840904
rat_inven_sact_6med,float64,2433,0.7610134672449212
siniincicap_v_6med,float64,2220,0.7604998858708057
siniincicap_v_6max,float64,1595,0.7604998858708057
ut_bruta_pasivolp_6m,float64,1523,0.7521684546907099
cob_int_fin_6m,float64,1631,0.7383588221867153
cob_int_6m,float64,1631,0.7383588221867153
cobertura_deuda_12m,float64,1548,0.7190709883588222
ut_bruta_pasivolp,float64,1621,0.7117667199269573
cob_int_fin,float64,1701,0.7012097694590276
cobertura_intereses,float64,1701,0.7012097694590276
rat_inven_sact_12med,float64,2544,0.6921364985163204
utilidad_neta_12var,float64,2240,0.6913375941565852
siniincicap_v_12max,float64,1483,0.6912805295594613
siniincicap_v_12med,float64,2405,0.6912805295594613
cobertura_deuda_6m,float64,2002,0.6762725405158639
rat_liquidez_12m,float64,1839,0.6662291714220497
productividad_12m,float64,1875,0.659780871947044
margen_operativo_12m,float64,1875,0.6582971924218215
captrab_ventas_12m,float64,1884,0.6582971924218215
margen_neto_12m,float64,1882,0.6582971924218215
margen_ebit_12m,float64,1882,0.6582971924218215
margen_bruto_12m,float64,1559,0.6582971924218215
cob_deuda_tot_12m,float64,1880,0.6573841588678384
rat_solvencia_12m,float64,1885,0.6573841588678384
rat_paslp_ebit_12m,float64,1176,0.6563569961196074
rat_pastot_ebit_12m,float64,1880,0.6563569961196074
tasa_impuestos_12m,float64,643,0.6560146085368638
rat_pastot_utnet_12m,float64,1881,0.6560146085368638
rot_cap_trabajo_12m,float64,1884,0.6539602830404018
rat_pas_patrinet_12m,float64,1886,0.653674960054782
rent_patrimonio_12m,float64,1895,0.653674960054782
rot_act_tot_12m,float64,1885,0.6534467016662863
rat_actcir_ncirc_12m,float64,1896,0.6534467016662863
rat_ebit_activos_12m,float64,1895,0.6534467016662863
roa2_12m,float64,1885,0.6534467016662863
rent_activos_12m,float64,1895,0.6534467016662863
rat_pas_act_12m,float64,1886,0.6534467016662863
roa_12m,float64,1896,0.6534467016662863
utilidad_neta_12m,float64,1896,0.6533896370691623
saldispopera_12var,float64,5504,0.6418055238530016
rat_disp_dispon_12m,float64,5593,0.6400365213421593
utilidad_neta_6var,float64,2472,0.6367838393060945
rat_ebit_spas,float64,6340,0.6322757361333029
rat_uneta_spasivo,float64,6341,0.6322757361333029
rat_pasivos_spasivo,float64,6328,0.6322757361333029
cobertura_deuda,float64,2113,0.6288518603058663
rat_liquidez_6m,float64,2345,0.6218329148596211
saldispopera_6var,float64,5935,0.6186372974206802
rat_disp_disponi_6m,float64,5934,0.617895457658069
productividad_6m,float64,2383,0.6145857110248801
margen_neto_6m,float64,2387,0.6134444190824013
margen_ebit_6m,float64,2387,0.6134444190824013
margen_operativo_6m,float64,2380,0.6134444190824013
margen_bruto_6m,float64,1983,0.6134444190824013
captrab_ventas_6m,float64,2390,0.6134444190824013
rat_solvencia_6m,float64,2400,0.611675416571559
cob_deuda_tot_6m,float64,2394,0.611618351974435
rat_pasivolp_ebit_6m,float64,1529,0.6104770600319561
rat_pastot_ebit_6m,float64,2393,0.6104770600319561
rat_pastot_utnet_6m,float64,2394,0.6103058662405844
tasa_impuestos_6m,float64,862,0.6103058662405844
rot_cap_trabajo_6m,float64,2390,0.6078520885642548
rat_pas_patrinet_6m,float64,2401,0.607566765578635
rent_patrimonio_6m,float64,2408,0.607566765578635
rent_activos_6m,float64,2408,0.6073385071901393
rat_actcir_ncirc_6m,float64,2414,0.6073385071901393
rat_pasivo_activo_6m,float64,2401,0.6073385071901393
roa_6m,float64,2409,0.6073385071901393
roa2_6m,float64,2392,0.6073385071901393
rot_act_tot_6m,float64,2391,0.6073385071901393
rat_ebit_activos_6m,float64,2408,0.6073385071901393
utilidad_neta_6m,float64,2408,0.6072814425930153
indicador_pym_pro,float64,1,0.6027162748230998
rat_disp_dispon,float64,6446,0.5978087194704406
rat_disp_dispon_6med,float64,7065,0.574868751426615
rat_liquidez,float64,2437,0.5720155215704177
productividad,float64,2474,0.5643118009586853
margen_ebitda,float64,2468,0.5635699611960739
margen_operativo,float64,2468,0.5635699611960739
margen_neto,float64,2476,0.5635699611960739
captrab_ventas,float64,2478,0.5635699611960739
margen_bruto,float64,2055,0.5635699611960739
margen_ebit,float64,2475,0.5635699611960739
rat_ebitda_pasivos,float64,2486,0.561401506505364
rat_solvencia,float64,2492,0.561401506505364
rat_pasnocirc_pastot,float64,1583,0.561401506505364
rat_pascirc_pastotal,float64,1583,0.561401506505364
rat_ebit_pasivos,float64,2486,0.561401506505364
cobertura_deuda_tot,float64,2489,0.5611161835197443
rat_disp_dispo_12med,float64,7320,0.5610591189226204
rat_pasivolp_ebitda,float64,1632,0.5594613102031499
rat_pasivot_ebitda,float64,2486,0.5594613102031499
rat_pasivolp_ebit,float64,1632,0.559404245606026
rat_pasivototal_ebit,float64,2486,0.559404245606026
rat_pasivot_utneta,float64,2487,0.5593471810089021
tasa_impuestos,float64,861,0.5593471810089021
rat_pastot_utnet,float64,2487,0.5593471810089021
rot_cap_trabajo,float64,2478,0.5566651449440767
rat_pas_patrinet,float64,2493,0.5563798219584569
rent_patrimonio,float64,2501,0.5563798219584569
rat_accirc_actotal,float64,2450,0.5561515635699612
rat_actcir_ncirc,float64,2506,0.5561515635699612
rat_acnocirc_actotal,float64,2450,0.5561515635699612
rat_ebitda_activos,float64,2501,0.5561515635699612
rot_activos_totales,float64,2479,0.5561515635699612
rat_pasivo_activo,float64,2493,0.5561515635699612
rat_ebit_activos,float64,2501,0.5561515635699612
rent_activos,float64,2501,0.5561515635699612
roa2,float64,2480,0.5561515635699612
roa,float64,2502,0.5561515635699612
pasivo_lp,float64,1564,0.5559233051814654
activo_total,float64,2511,0.5559233051814654
utilidad_neta,float64,2503,0.5559233051814654
rat_ebit_sact,float64,7308,0.5559233051814654
costototalventas,float64,2053,0.5559233051814654
pasivo_circ,float64,2387,0.5559233051814654
ebit,float64,2502,0.5559233051814654
otros_pasivos,float64,2,0.5559233051814654
activo_circ,float64,2505,0.5559233051814654
rat_activos_sactivo,float64,7363,0.5559233051814654
pasivo_total,float64,2457,0.5559233051814654
impuestos,float64,857,0.5559233051814654
rat_uneta_sactivo,float64,7309,0.5559233051814654
rat_pasivos_sactivo,float64,7269,0.5559233051814654
utilidad_bruta,float64,2478,0.5559233051814654
ebitda,float64,2500,0.5559233051814654
pasivo_no_circ,float64,1564,0.5559233051814654
utilidad_neta_6med,float64,5784,0.5386897968500343
utilidad_neta_6max,float64,2085,0.5386897968500343
utilidad_neta_12med,float64,6785,0.5196302214106369
utilidad_neta_12max,float64,1678,0.5196302214106369
pat_neto_12var,float64,3523,0.4839077836110477
rat_salnet_ven_12m,float64,9688,0.4451609221638895
rat_tpas_ventas_12m,float64,8545,0.4451609221638895
rat_snet_ventas_12m,float64,9688,0.4451609221638895
rat_spas_ventas_12m,float64,8545,0.4451609221638895
rot_act_fijo_12m,float64,2922,0.429296964163433
rat_ventas_tsal_12m,float64,9707,0.4255877653503766
gasto_fin_ventas_12m,float64,1605,0.41388952293996806
rat_ventas_lim_12m,float64,4528,0.40875370919881304
patrimonio_neto_12m,float64,3026,0.40875370919881304
impgaraoperaforma,float64,1229,0.39728372517690025
impgaraoperarefe,float64,1204,0.39728372517690025
patrimonio_neto_6var,float64,3782,0.39260442821273683
rat_ventas_spasivo,float64,10407,0.3906642319105227
rat_spas_ventas_6m,float64,9477,0.3810773795937001
rat_tpas_ventas_6m,float64,9477,0.3810773795937001
rat_salnet_ven_6m,float64,10788,0.3810773795937001
rat_snet_ventas_6m,float64,10788,0.3810773795937001
rot_activos_fijos_6m,float64,3647,0.3621889979456745
rat_ventas_tsal_6m,float64,10860,0.35631134444190826
gasto_fin_ventas_6m,float64,2097,0.34666742752796165
rat_ventas_limite_6m,float64,5327,0.34010499885870804
patrimonio_neto_6m,float64,3776,0.34010499885870804
rat_ven_spas_12m,float64,331,0.33850719013923763
rat_svivo_spas_12m,float64,11256,0.33850719013923763
rat_sdebe_shaber_12m,float64,11260,0.33810773795937
rat_snet_ventas,float64,11955,0.31442593015293313
rat_sal_tpas_ventas,float64,10407,0.31442593015293313
rat_spas_ventas,float64,10407,0.31442593015293313
rat_sal_net_ventas,float64,11955,0.31442593015293313
rot_activos_fijos,float64,3723,0.2938826751883132
rat_salnet_ven_6med,float64,12619,0.2782469755763524
rat_tpas_ventas_6md,float64,11710,0.2782469755763524
gasto_fin_ventas,float64,2201,0.27699155443962564
rat_svivo_spas_6m,float64,12434,0.27191280529559464
rat_ven_spas_6m,float64,394,0.27191280529559464
rat_spas_sact_12m,float64,11298,0.271513353115727
rat_tpas_tact_12m,float64,11298,0.271513353115727
rat_prompas_sact_12m,float64,11918,0.271513353115727
rat_sdebe_shaber_6m,float64,12443,0.27145628851860304
fecha_inicio_d,datetime64[ns],52,0.2687742524537777
gastos_fin,float64,2138,0.2687742524537777
gastos_admin,float64,3820,0.2687742524537777
rat_ventas_sactivo,float64,12154,0.2687742524537777
rat_ventas_limite,float64,5625,0.2687742524537777
rat_ventas_tot_sal,float64,12271,0.2687742524537777
productos_fin,float64,440,0.2687742524537777
activo_no_circ,float64,3383,0.2687742524537777
activos_fijos,float64,2935,0.2687742524537777
patrimonio_neto,float64,3866,0.2687742524537777
total_ventas,float64,3830,0.2687742524537777
saldo_neto_12var,float64,12935,0.2599292398995663
rat_sact_snet_12m,float64,11299,0.25507874914403106
rat_spas_snet_12m,float64,11299,0.25507874914403106
spasivohabe_prom_12m,float64,12014,0.25456516776991556
saldo_haber_12m,float64,11281,0.25456516776991556
rat_tpas_lim_12m,float64,11346,0.25456516776991556
saldo_debe_12m,float64,11681,0.25456516776991556
saldo_neto_12m,float64,13007,0.25456516776991556
saldo_pasivo_12m,float64,11260,0.25456516776991556
rat_tpas_ventas_12md,float64,12337,0.24372289431636612
rat_salnet_ven_12med,float64,13070,0.24372289431636612
antig_pasivo_12m,float64,117,0.2341360419995435
rat_ventas_tsal_6md,float64,13166,0.23339420223693222
patrimonio_neto_6med,float64,9199,0.23105455375485048
patrimonio_neto_6max,float64,3488,0.23105455375485048
rat_ventas_lim_6med,float64,10208,0.23105455375485048
rat_sven_stot_12m,float64,673,0.21382104542341931
rat_svivo_sact_12m,float64,3346,0.21119607395571788
rat_ven_sact_12m,float64,673,0.21119607395571788
rat_ven_spas,float64,499,0.19818534581145858
rat_svivo_spas,float64,14036,0.19818534581145858
rat_sdebe_shaber,float64,14051,0.19750057064597124
sdispuesto_12var,float64,7589,0.19670166628623603
rat_ventas_tsal_12md,float64,13702,0.19521798676101346
total_saldo_12m,float64,12736,0.19401963022141064
rat_dispon_lim_12m,float64,5594,0.19401963022141064
saldo_activo_12m,float64,12707,0.19401963022141064
antig_activo_12m,float64,190,0.19401963022141064
saldispopera_12m,float64,5477,0.19401963022141064
limite_12m,float64,2277,0.19401963022141064
saldo_vivo_12m,float64,12688,0.19401963022141064
saldo_vencido_12m,float64,626,0.19401963022141064
saldo_dispuesto_12m,float64,7659,0.19401963022141064
limite_12var,float64,1720,0.19401963022141064
total_saldo_12var,float64,13217,0.19401963022141064
rat_dispu_lim_12m,float64,5594,0.19401963022141064
rat_ventas_lim_12med,float64,11637,0.19350604884729514
pat_neto_12med,float64,11020,0.19350604884729514
pat_neto_12max,float64,2999,0.19350604884729514
rat_spas_sact_6m,float64,12478,0.1874001369550331
rat_prompas_sact_6m,float64,13162,0.1874001369550331
rat_tpas_sact_6m,float64,12478,0.1874001369550331
saldo_neto_6var,float64,14406,0.17433234421364985
rat_spasivo_sneto_6m,float64,12479,0.17193563113444418
rat_sact_snet_6m,float64,12479,0.17193563113444418
spasivohabe_prom_6m,float64,13215,0.17107966217758502
rat_sal_tpas_limi_6m,float64,12465,0.17107966217758502
saldo_debe_6m,float64,13013,0.17107966217758502
saldo_haber_6m,float64,12382,0.17107966217758502
saldo_pasivo_6m,float64,12367,0.17107966217758502
saldo_neto_6m,float64,14430,0.17107966217758502
antiguedad_pasivo_6m,float64,117,0.15390321844327778
rat_ven_spas_6med,float64,1167,0.15173476375256792
rat_svivo_spas_6med,float64,14607,0.15173476375256792
rat_sdeb_shab_6med,float64,14638,0.15002282583884957
rat_svivo_spas_12med,float64,14857,0.13005021684546908
rat_ven_spas_12med,float64,1456,0.13005021684546908
rat_sdeb_shab_12med,float64,14872,0.12873773111161835
rat_sven_stot_6m,float64,842,0.12177585026249714
rat_ven_sact_6m,float64,842,0.1192650079890436
rat_svivo_sact_6m,float64,3817,0.1192650079890436
saldo_dispuesto_6var,float64,7770,0.1057406984706688
limite_6m,float64,2488,0.10283040401734764
rat_dispon_lim_6m,float64,5935,0.10283040401734764
rat_dispu_lim_6m,float64,5934,0.10283040401734764
saldo_dispuesto_6m,float64,8219,0.10283040401734764
saldispopera_6m,float64,5817,0.10283040401734764
saldo_vivo_6m,float64,14148,0.10283040401734764
saldo_activo_6m,float64,14165,0.10283040401734764
limite_6var,float64,1647,0.10283040401734764
total_saldo_6var,float64,14550,0.10283040401734764
saldo_vencido_6m,float64,790,0.10283040401734764
total_saldo_6m,float64,14202,0.10283040401734764
antiguedad_activo_6m,float64,196,0.10283040401734764
rat_spas_sact_6med,float64,14653,0.08999086966446017
rat_prpas_sact_6med,float64,15126,0.08999086966446017
rat_tpas_sact_6med,float64,14653,0.08999086966446017
rat_spas_snet_6med,float64,14659,0.08782241497375029
rat_sact_snet_6med,float64,14666,0.08782241497375029
saldo_haber_6med,float64,14563,0.0875941565852545
saldo_neto_6max,float64,11135,0.0875941565852545
rat_tpas_limi_6med,float64,14591,0.0875941565852545
saldo_pasivo_6med,float64,14528,0.0875941565852545
saldo_neto_6med,float64,15941,0.0875941565852545
spashaber_prom_6med,float64,15023,0.0875941565852545
saldo_pasivo_6max,float64,8517,0.0875941565852545
saldo_debe_6med,float64,15179,0.0875941565852545
rat_prpas_sact_12med,float64,15402,0.08605341246290801
rat_spas_sact_12med,float64,15005,0.08605341246290801
rat_tpas_sact_12med,float64,15005,0.08605341246290801
rat_sact_snet_12med,float64,15024,0.08451266834056152
rat_spas_snet_12med,float64,15017,0.08451266834056152
saldo_haber_12med,float64,14948,0.08439853914631362
saldo_neto_12max,float64,8436,0.08439853914631362
rat_tpas_lim_12med,float64,14984,0.08439853914631362
spashaber_prom_12med,float64,15330,0.08439853914631362
saldo_neto_12med,float64,16016,0.08439853914631362
saldo_pasivo_12med,float64,14930,0.08439853914631362
saldo_pasivo_12max,float64,5782,0.08439853914631362
saldo_debe_12med,float64,15500,0.08439853914631362
max_meses_atraso_cap,float64,33,0.08086053412462908
peorcalificacion,object,6,0.08086053412462908
peorcalificacion_cat,float64,6,0.08086053412462908
max_meses_atraso_int,float64,33,0.08086053412462908
tot_atrasado_int,float64,973,0.08086053412462908
total_deuda,float64,15646,0.08086053412462908
tot_atrasado_cap,float64,1818,0.08086053412462908
saldo_debe,float64,14786,0.0757247203834741
rat_sact_snet,float64,14040,0.0757247203834741
saldo_neto,float64,16087,0.0757247203834741
salpasdebeprom,float64,111,0.0757247203834741
saldo_pasivo,float64,13585,0.0757247203834741
importe_de_nomina,float64,738,0.0757247203834741
fecha_saldo_pas_cli,datetime64[ns],1039,0.0757247203834741
indiclieconnomi,float64,2,0.0757247203834741
salinvpromediode,float64,229,0.0757247203834741
rat_sal_tpas_limi,float64,13697,0.0757247203834741
rat_spasivo_sactivo,float64,14040,0.0757247203834741
rat_prompas_sact,float64,14806,0.0757247203834741
rat_spasivo_sneto,float64,14040,0.0757247203834741
inversionespromedio,float64,229,0.0757247203834741
rat_tpas_tact,float64,14040,0.0757247203834741
salpasdebefinmes,float64,54,0.0757247203834741
spasivohabe_prom,float64,14545,0.0757247203834741
salpashabefinmes,float64,13559,0.0757247203834741
saldo_haber,float64,13605,0.0757247203834741
antiguedad_pasivo,float64,117,0.07076010043369094
rat_sven_stot_6med,float64,1980,0.018603058662405844
rat_ven_sact_6med,float64,1979,0.01843186487103401
rat_svivo_sact_6med,float64,6010,0.01843186487103401
rat_sven_stot_12med,float64,2291,0.01746176671992696
rat_ven_sact_12med,float64,2284,0.01734763752567907
rat_svivo_sact_12med,float64,6610,0.01734763752567907
saldo_vivo_6max,float64,11811,0.015978087194704404
limite_6med,float64,3910,0.015978087194704404
saldo_activo_6med,float64,16392,0.015978087194704404
saldispopera_6med,float64,6958,0.015978087194704404
saldo_activo_6max,float64,11839,0.015978087194704404
total_saldo_6max,float64,11878,0.015978087194704404
saldo_vivo_6med,float64,16414,0.015978087194704404
saldo_vencido_6med,float64,1894,0.015978087194704404
saldo_vencido_6max,float64,1311,0.015978087194704404
saldo_dispuesto_6med,float64,10199,0.015978087194704404
rat_dispon_lim_6med,float64,7112,0.015978087194704404
rat_dispu_lim_6med,float64,7125,0.015978087194704404
total_saldo_6med,float64,16488,0.015978087194704404
limite_12med,float64,5128,0.01563569961196074
total_saldo_12max,float64,8999,0.01563569961196074
saldo_vivo_12max,float64,8981,0.01563569961196074
total_saldo_12med,float64,16751,0.01563569961196074
saldo_activo_12max,float64,9002,0.01563569961196074
rat_dispon_lim_12med,float64,7414,0.01563569961196074
sdispuesto_12med,float64,11021,0.01563569961196074
rat_dispu_lim_12med,float64,7434,0.01563569961196074
saldo_vencido_12med,float64,2164,0.01563569961196074
saldispopera_12med,float64,7243,0.01563569961196074
saldo_activo_12med,float64,16677,0.01563569961196074
saldo_vivo_12med,float64,16697,0.01563569961196074
saldo_vencido_12max,float64,1176,0.01563569961196074
antiguedad_empresa,float64,855,0.005535265921022598
departamento_cat,float64,20,0.0006847751654873316
dias_atraso,float64,82,0.0
indiempvincuflag,float64,2,0.0
flag_codpro_finanexp,float64,2,0.0
flag_codpro_docdes,float64,2,0.0
fecha_desembolso,datetime64[ns],1339,0.0
flag_codpro_intcasa,float64,2,0.0
fecha_canc_real,datetime64[ns],521,0.0
fecha_aprobacion,datetime64[ns],533,0.0
flag_codpro_finanimp,float64,2,0.0
ind_expansion,float64,1,0.0
cura,float64,1,0.0
default_12m,float64,2,0.0
mora_subjetiva_vig,float64,1,0.0
mora_objetiva_vig,float64,1,0.0
default,float64,1,0.0
tipo_vincu_enti_cat,float64,3,0.0
clasi_geo_cat,float64,8,0.0
pais_cat,float64,6,0.0
grupo_economico_cat,float64,2,0.0
rat_dispu_lim,float64,6447,0.0
rat_dispon_lim,float64,6447,0.0
flag_invpromedio,float64,2,0.0
flag_fechapasivo,datetime64[ns],2,0.0
flag_feccanccontract,float64,1,0.0
saldo_dispuesto,float64,8974,0.0
flag_diasatraso,float64,2,0.0
rat_ven_sact,float64,1118,0.0
antiguedad_activo,float64,202,0.0
flag_pasivo,float64,2,0.0
flag_activo_cero,float64,1,0.0
rat_svencido_stotal,float64,1118,0.0
rat_svivo_sact,float64,4389,0.0
flag_limite,float64,1,0.0
flag_fechafinentidad,datetime64[ns],1,0.0
dur_canreal,float64,196,0.0
tasaoperacion_pond,float64,227,0.0
flag_codrpo_cuencorr,float64,2,0.0
indiemppromoflag,float64,2,0.0
flag_codpro_intconsu,float64,2,0.0
flag_codpro_intauto,float64,2,0.0
saldo_activo,float64,16019,0.0
fec_canc_contractual,object,1992,0.0
sactihabefinmes,float64,211,0.0
saldo_vencido,float64,1066,0.0
sactidebepromedio,float64,16542,0.0
saldo_vivo,float64,16015,0.0
flag_sitcont_cance,float64,2,0.0
num_recibos_domici,float64,6,0.0
fec_contra_de_activo,object,933,0.0
numgruposecono,float64,2,0.0
clasi_act_empre,float64,69,0.0
num_nominas_domici,float64,61,0.0
indi_nominas_domici,float64,2,0.0
total_saldo,float64,16113,0.0
flag_sitcont_normal,float64,2,0.0
tasa_operacion,float64,117,0.0
tipcarepergra_flag,float64,2,0.0
flag_sitcont_default,float64,2,0.0
flag_sitcont_incump,float64,2,0.0
salvencapital,float64,663,0.0
salvenintereses,float64,796,0.0
saldo_intereses,float64,9051,0.0
sactidebefinmes,float64,16019,0.0
limite,float64,2752,0.0
mxdiasatramescapi,float64,117,0.0
mxdiasatramesinte,float64,109,0.0
saldo_capital,float64,15881,0.0
saldispopera,float64,6306,0.0
flag_tarjeta_virt,float64,2,0.0
fecha_evento,datetime64[ns],24,0.0
num_contratos,float64,67,0.0
flag_fecha_inicio_d,datetime64[ns],2,0.0
cod_cliente_anom,int64,1227,0.0
